name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Beyond Creation,Beyond Creation,ONA,1,Finished Airing,"Feb 16, 2019",,add some,add some,Live2D Creative Studio,Original,"Fantasy, Magic",4 min.,G,"6.31, 394",912,0,"Short animation produced and planned by the Live2D Creative Studio design team, starring Natsumi Fujiwara as the drawing boy Louie, and Haruka Tomatsu as the mysterious girl Epsilon.

(Source: ANN)"
,CARDFIGHT!! Vanguard 続・高校生編,TV,14,Finished Airing,"May 11, 2019 to Aug 10, 2019",Saturdays at 08 00 (JST),add some,add some,OLM,Original,"Action, Game, Shounen",23 min. per ep.,PG-13,"6.31, 1088",3029,11,"Upon the conclusion of the Vanguard High School Koshien, Kouji Ibuki begins to have new nightmares. Nome Tatsunagi has Suiko summon him to the mansion where they learn he can see a Dark Tower called Sanctuary. Sanctuary is causing the timeline to be altered throughout history, and the only way to correct it is for Kouji to first correct his future mistake. Now Kouji and Suiko must travel the parallel world -if- and watch as Magical Girls Emi Sendou and Shuka summon Vanguard units to help correct history. Sadly the two can't help much as Cardfighting against real monsters doesn't do much good.

(Source: ANN)"
Super Express Hikarian,超特急ヒカリアン,TV,156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",Unknown,TV Tokyo,add some,add some,Unknown,"Action, Kids, Adventure",7 min. per ep.,G,"6.31, 189",586,2,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion.

(Source: Wikipedia)"
,CYBORG009 CALL OF JUSTICE 第1章,Movie,1,Finished Airing,"Nov 25, 2016",,"Production I.G, Ishimori Pro",add some,"OLM Digital, Signal.MD",Manga,"Action, Sci-Fi, Adventure, Mecha, Shounen",2 hr.,PG,"6.31, 1518",4194,3,"The story will depict Joe Shimamura and the other cyborgs' struggle with the Bresudo, a group of people who possess superhuman powers and intellect, and have manipulated human history since ancient times. Their goals are unknown, and they cast a dark shadow over the world. Though few people believe in the Bresdo's existence, one American journalist named Lucie Davenport heads to Texas to contact a certain family, and she meets the cyborgs. The cyborgs themselves have been freed from their duty of protecting humanity ever since the establishment of the UN Guardian troops, and they now live quiet lives of peace."
,ダンボール戦機ウォーズ スペシャルアニメ,Special,1,Finished Airing,"Feb 27, 2014",,add some,add some,OLM,Original,"Action, Kids, Mecha, School",9 min.,G,"6.31, 178",573,3,"Arata Sena is unable to leave the island after he forgets to have his permission form signed. However, he gets an even better opportunity: facing off against LBX legend Ban Yamano."
,電脳コイル総復習,Special,2,Finished Airing,"Aug 25, 2007 to Nov 3, 2007",,"NHK, Tokuma Shoten",add some,Madhouse,Original,"Sci-Fi, Adventure, Mystery, Comedy, Drama",57 min. per ep.,G,"6.31, 593",2108,0,"The entry encompasses two recaps: ""Dennou Coil Overall Review"" - summary episode, recapping the story up to 22nd episode, as well as ""Total Summary Special"" - 90 minute recap that was released with the Blu-ray Box."
Misaki Chronicle Divergence Eve,みさきクロニクル 〜ダイバージェンス・イヴ〜,TV,13,Finished Airing,"Jan 3, 2004 to Mar 27, 2004",Saturdays at 00 30 (JST),"Imagica, KlockWorx","ADV Films, Sentai Filmworks",Radix,Original,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",24 min. per ep.,PG-13,"6.31, 2071",6266,10,"Through the long distance warp called the ""Exodus Project"", Worns, Ryer and the
other crew members of ""Watchers Nest"" manage to escape from the Earth. Misaki, who
was attending the final battle with ""Ghoul"" at that time, isn't present there and
before her eyes, the earth changes and gets enclosed by a time barrier.

Ryer and the others search for a way to escape from this space time maze, but the
earth changes to various forms. Innumerable ""Nows"" appear due to varying time axes. 

And also Misaki, who should have disappeared because of the Exodus Project incident,
still afortiori. Before Ryer and the others, different forms of Misaki appear. The
Misaki from training school, the Misaki from her childhood days.

Are these reflections caused by the conflicts that exist inside Misaki?

She awakens a second time and when she derives the response, that history is leading
into a completely differnet direction now.

Will Misaki, Ryer and the others be able to find a real happy end?!

(Source: AnimeNfo)"
,円卓の騎士物語　燃えろアーサー,TV,30,Finished Airing,"Sep 9, 1979 to Mar 30, 1980",Sundays at 19 00 (JST),add some,add some,Toei Animation,Unknown,"Adventure, Romance, Historical, Drama",24 min. per ep.,PG-13,"6.31, 305",1190,2,"After his parents are killed by the Evil Lavic, Arthur is a contender to become King of all Britain. Arthur and his brave knights embark on a quest for the Holy Shield – the only hope to beat Lavic and unify the kingdom.

(Source: Toei Animation)"
Fate/Extra Last Encore,Fate/EXTRA Last Encore,TV,10,Finished Airing,"Jan 28, 2018 to Apr 1, 2018",Sundays at 00 00 (JST),"Aniplex, Marvelous, Notes",add some,Shaft,Game,"Action, Fantasy, Magic",24 min. per ep.,R,"6.31, 57219",145683,430,"A technological hell masquerading as paradise, Tsukimihara Academy is an artificial high school that serves as the setting for the next Holy Grail War. Created by the Moon Cell computer, the school is inhabited by Earth-projected souls who have even the slightest aptitude for being a ""Master."" Of these 256 souls, 128 will be chosen for the main tournament and granted a Servant. With all of the Masters selected, the Academy activates a purge, targeting the remaining lifeforms for elimination.

Awakening in a pool of his own blood, Hakuno Kishinami refuses to die. Fueled by unknown feelings of hatred, he vows to fight for survival. As he struggles to escape from a relentless pursuer, he finds a crimson blade plunged into the ground; and by pulling it out, Hakuno summons his own Servant, Saber, who instantly destroys his pursuer in a flurry of rose petals. With his newfound power, Hakuno must now begin his journey to Moon Cell's core, the Angelica Cage. There, he will unveil the reason for this artificial world and the secrets of his own blood-soaked past.

[Written by MAL Rewrite]"
,メイキングオブファイアボール,Special,1,Finished Airing,"Aug 19, 2009",,Jinnis Animation Studios,add some,add some,Original,"Comedy, Sci-Fi",3 min.,G,"6.31, 1181",2092,1,"A small special in which the show's stars, Drossel and Gedächtnis, explain a little bit about how the show is made, through interviews and behind the scenes shots."
The Highschool Life of a Fudanshi Special,腐男子高校生活　スポーツの秋煩悩の秋,Special,1,Finished Airing,"Oct 14, 2016",,DAX Production,add some,EMT Squared,4-koma manga,"Slice of Life, Comedy, School, Shoujo",4 min.,PG-13,"6.31, 616",3498,1,A bonus episode bundled with the DVD and Blu-ray releases taking place at a sports day.
