name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
BBK/BRNK The Gentle Giants of the Galaxy,ブブキ・ブランキ 星の巨人,TV,12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016",Saturdays at 21 30 (JST),"Dentsu, AT-X, Ultra Super Pictures, Sony Music Communications, Bushiroad, Sammy, Kadokawa Media (Taiwan), Tose",add some,SANZIGEN,Original,"Action, Sci-Fi, Drama, Mecha",23 min. per ep.,PG-13,"6.85, 9437",22811,21,Sequel of Bubuki Buranki.
,ぷにえの里帰り,Special,4,Finished Airing,"Mar 20, 2006 to Mar 21, 2007",,add some,add some,Diomedea,Manga,Comedy,1 min. per ep.,PG-13,"6.85, 3975",7083,2,Omake (extra) of Dai Mahou Touge.
,デビルズライン エニタイム エニウェア,OVA,1,Finished Airing,"Aug 23, 2018",,add some,add some,Platinum Vision,Manga,"Action, Supernatural, Drama, Romance, Vampire, Seinen",25 min.,R,"6.85, 3620",11255,18,Bundled with the limited edition of the manga' 12th compiled volume.
Dragon Ball Curse of the Blood Rubies,ドラゴンボール 神龍の伝説,Movie,1,Finished Airing,"Dec 20, 1986",,add some,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",50 min.,PG-13,"6.85, 27899",49704,41,"A retelling of Dragon Ball's origins, this is a different version of the meeting of Goku, Bulma, Oolong, and Yamucha. They are all looking for the dragon balls for different reasons when they cross paths with an evil king named Gourmeth, who is also looking for the dragon balls. 

(Source: ANN)"
Dragon Ball Z The Return of Cooler,ドラゴンボールZ 激突!!100億パワーの戦士たち,Movie,1,Finished Airing,"Mar 7, 1992",,add some,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",45 min.,PG-13,"6.85, 58795",94066,34,"Cooler has resurrected himself as a robot and is enslaving the people of New Namek. Goku and the gang must help. 

(Source: ANN)"
Friends Naki of Monster Island,friends -フレンズ- もののけ島のナキ,Movie,1,Finished Airing,"Dec 17, 2011",,"Sony Music Entertainment, Yahoo! Japan",add some,add some,Novel,"Kids, Fantasy, Comedy",1 hr. 27 min.,PG,"6.85, 338",930,2,"On an island, legend has it that monsters have lived there since ancient times. Because of this, the residents have named the island “Monster Island.” In actuality, the monsters living on the island are friendly, but live in fear of humans. A child named Kotake wanders onto the island. A grumpy red ogre named Naki ends up taking care of the child. What strange things might this encounter cause?"
,銀河鉄道物語 ～永遠への分岐点～,TV,24,Finished Airing,"Oct 5, 2006 to Mar 29, 2007",Unknown,"CBC, Planet",add some,add some,Original,"Action, Adventure, Space, Drama, Sci-Fi",24 min. per ep.,PG-13,"6.85, 798",3162,4,Second season.
,劇場版 はいからさんが通る 後編 ～花の東京大ロマン～,Movie,1,Finished Airing,"Oct 19, 2018",,"Kodansha, Warner Bros. Japan, KlockWorx, Tokyo MX, Asahi Shimbun",add some,Nippon Animation,Manga,"Comedy, Historical, Romance, Shoujo",1 hr. 45 min.,PG-13,"6.85, 1938",7694,31,"The story follows Benio ""Haikara-san"" Hanamura, who lost her mother when she was very young and has been raised by her father, a high-ranking official in the Japanese army. As a result, she has grown into a tomboy. Contrary to traditional Japanese notions of femininity, she studies kendo, drinks sake, dresses in often outlandish-looking Western fashions instead of the traditional kimono, and is not as interested in housework as she is in literature. She also rejects the idea of arranged marriages and believes in a woman's right to a career and to marry for love.

(Source: ANN)"
Flower Angel,花の子ルンルン,TV,50,Finished Airing,"Feb 9, 1979 to Feb 8, 1980",Unknown,"TV Asahi, Asatsu DK",add some,Toei Animation,Original,"Adventure, Drama, Magic, Shoujo",24 min. per ep.,G,"6.85, 1070",3831,16,"The King of the Flower Planet is dying, but his heir can't take up the throne until the legendary Seven Color Flower, symbol of the King's power, is found. The Angels, Cateau and Noveau are sent to Earth to find the Flower Girl, a young female who descends from both humans and Flower Angels (who once inhabited Earth a long time ago) - and they find Lunlun in France. They convince her to go in a long journey to find the Flower - she'll know the good and bad sides of humans and Flower Angels (incarnated in the ambitious Togenishia and her sidekick Boris), and will fall in love with Serge Flora, a man who holds a great secret.

(Source: ANN)"
Cells at Work!,はたらく細胞,ONA,1,Finished Airing,"Jul 2, 2017",,add some,add some,add some,Manga,Sci-Fi,58 sec.,PG,"6.85, 4609",13389,58,"A special animated commercial to celebrate the release of the manga's fifth volume. The full length version of the commercial was released on Kodansha's official YouTube channel the day after the short version was released on TV.

It features the anthropomorphized cells of a human body, with the protagonist being a red blood cell named AE-3803. "
,『はたらく細胞!!』最強の敵、再び。体の中は“腸”大騒ぎ！,Movie,1,Finished Airing,"Sep 5, 2020",,"Aniplex, Kodansha",add some,David Production,Manga,"Action, Comedy, Shounen",Unknown,PG-13,"6.85, 163",15395,4,The theatrical episode will cover events from the fifth volume of the manga.
,"仮面のメイドガイ あの夏, いちばん豊か乳。",OVA,1,Finished Airing,"Dec 22, 2008",,Geneon Universal Entertainment,add some,Madhouse,Unknown,"Action, Comedy, Ecchi",19 min.,R+,"6.85, 4386",8373,3,"An unreleased episode containing scenes that could not be aired due to ""ethical regulations."""
,ケロロ,TV,23,Finished Airing,"Mar 22, 2014 to Sep 6, 2014",Unknown,add some,add some,Sunrise,Unknown,"Comedy, Sci-Fi, Shounen",3 min. per ep.,PG-13,"6.85, 2441",6630,27,Second TV (flash animated) series of Keroro Gunsou.
Scorched Bread,こげぱん,TV,10,Finished Airing,"Nov 5, 2001 to Nov 16, 2001",Unknown,San-X,add some,Studio Pierrot,Other,Comedy,4 min. per ep.,G,"6.85, 2892",5518,35,"An accident in the bakery's oven caused a piece of bread to stay in the oven for way too long. Thus Kogepan was born - a piece of burnt bread, having no chance to be sold.

(Source: ANN)"
Koi Suru Shirokuma,恋するシロクマ,Movie,Unknown,Currently Airing,"Mar 4, 2017 to ?",,add some,add some,Gathering,Manga,"Comedy, Josei, Shounen Ai",39 sec.,G,"6.85, 556",4816,18,"A polar bear falls in love with an earless seal, and he wants nothing else except to protect him, even though the seal constantly thinks the bear will eat him.

(Source: ANN)"
,黒の栖 -Chronus-,Movie,1,Finished Airing,"Mar 1, 2014",,Exa International,add some,Studio 4°C,Original,Psychological,25 min.,PG-13,"6.85, 8304",16561,9,"For as long as he can remember, Makoto Nakazono has had the power to see grim reapers watching people shortly before their deaths and escorting their souls to heaven. He realized long ago that nobody would believe him if he talked about his ability. Since there is nothing he can do to alter people's fates, he tries his best to pretend that he does not see anything out of the ordinary.

This all changes when a reaper at Makoto's high school speaks to him and questions him why he never interferes. After learning that the reaper is there for his best friend, Hazuki Horiuchi, Makoto starts to wonder if he can defer her grim fate, even if only for a little while.

[Written by MAL Rewrite]
"
,巨人の星,TV,182,Finished Airing,"Mar 30, 1968 to Sep 18, 1971",Unknown,"Tokyo Movie Shinsha, Yomiuri Telecasting",add some,TMS Entertainment,Manga,"Drama, Sports",25 min. per ep.,G,"6.85, 229",1768,6,"The story is about Hyuma Hoshi, a promising young baseball pitcher who dreams of becoming a top star like his father Ittetsu Hoshi in the professional Japanese league. His father was once a 3rd baseman until he was injured in World War II and was forced to retire. The boy would join the ever popular Giants team, and soon he realized the difficulty of managing the high expectations. From the grueling training to battling the rival Mitsuru Hanagata on the Hanshin Tigers, he would have to take out his best pitching magic to step up to the challenge.

(Source: Wikipedia)"
,灵域 第二季,ONA,10,Finished Airing,"Feb 18, 2016 to Apr 21, 2016",,iQIYI,add some,Haoliners Animation League,Novel,Fantasy,15 min. per ep.,PG-13,"6.85, 682",1653,2,"Qin Lie have to guard Tang Siqi, regardless of the differences between them, and Liang Shanyan, while the strange powers coursing through his veins are beginning to slowly awaken. When Qin Lie vows to protect the instrument of sovereign, at the same time, seven Evil Clan's Lords are appearing on the field. While the most powerful secret weapon is emerging from the altar, the enemy intend to seize Qin Lie's life..."
,ロストワンの号哭を歌ってみた,Music,1,Finished Airing,"Aug 12, 2019",,add some,add some,add some,Original,Music,3 min.,PG-13,"6.85, 280",541,1,Music Video of the original Vocaloid song of Neru that is performed by the project band Afterglow as a collaboration between Bang Dream! and Hatsune Miku.
Lupin III Goodbye Lady Liberty,ルパン三世『バイバイ・リバティー危機一発！,Special,1,Finished Airing,"Apr 1, 1989",,"VAP, Tokyo Movie Shinsha",Discotek Media,add some,Unknown,"Action, Adventure, Mystery, Comedy, Seinen",1 hr. 37 min.,R+,"6.85, 2572",5700,4,"In this adventure, Lupin III tries to erase the files about him in the world police network. He finds out about the Ultravirus, a computer virus that controls all others and its location is only known by a little kid. Meanwhile, he steals the Statue of Liberty to look for a diamond the size of a football that is said to be hidden somewhere in it. Apparently, the diamond and the ultravirus are somehow related... 

(Source: ANN)"
,なんでここに先生が!?,Special,1,Finished Airing,"Dec 11, 2019",,add some,Sentai Filmworks,Tear Studio,Manga,"Comedy, Ecchi, School, Seinen",12 min.,R+,"6.85, 12940",27521,42,Unaired episode included with the Blu-ray box set.
