name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,青天井のクラウン,Music,1,Finished Airing,"Dec 1, 1998",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,170,0,Dedicated to all street performers; who hit their metaphorical ceiling or lose the motivation to continue their art.
,凹凸世界,ONA,32,Finished Airing,"Jun 27, 2016 to Jan 31, 2017",,add some,add some,add some,Web manga,"Action, Adventure, Fantasy, Sci-Fi",12 min. per ep.,PG-13,N/A,560,5,"A god created AOTU World and established the 7 Oracles to rule it on behalf of this god. The poor and rich, enslaved and free, suffering and happiness, destruction and birth: every status is ordained by God. Mortals can only accept, but cannot resist. However, God has given his people the opportunity to change their fate through ""AOTU Contest."" The contestants use their unique ""ability"" gifted by the Contest System and inbate wisdom and courage in hopes of winning the competition and becoming the world's ruler."
,凹凸世界 2,ONA,20,Finished Airing,"Oct 31, 2017 to Feb 18, 2018",,add some,add some,add some,Web manga,"Action, Sci-Fi, Adventure, Fantasy",12 min. per ep.,PG-13,N/A,348,1,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,凹凸世界 3,ONA,Unknown,Currently Airing,"Jan 25, 2019 to ?",,add some,add some,add some,Web manga,"Action, Sci-Fi, Adventure, Super Power, Fantasy, Shounen",18 min.,PG-13,N/A,152,4,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,アオゾラ,Music,1,Finished Airing,"Jun 2, 2005",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,196,0,A song wishing for peace in the present age full of sad events.
Apache Baseball Team,アパッチ野球軍,TV,26,Finished Airing,"Oct 6, 1971 to Mar 29, 1972",Wednesdays at 19 30 (JST),add some,add some,Toei Animation,Manga,"Action, Sports, School",25 min. per ep.,G,N/A,629,1,"A former baseball star who suffered a career crippling injury takes over as coach of a team of misfits in a poor village high school.

(Source: AniDB)"
,APO APOワールド ジャイアント馬場 90分1本勝負,Movie,1,Finished Airing,"Jun 15, 1996",,Shochiku,add some,add some,Unknown,"Sports, Comedy",1 hr. 30 min.,G,N/A,196,0,"Animation based around the real-life Japanese wrestler Giant Baba (Baba Shouhei, January 23, 1938 - January 31, 1999).

(Source: AniDB)"
,あっぱれ！桃太郎の交通安全,OVA,1,Finished Airing,Not available,,add some,add some,add some,Original,"Fantasy, Kids",17 min.,G,N/A,100,0,The cast of the Japanese folktale Momotarou teach traffic safety.
,エプロン・ヒーロー,Music,1,Finished Airing,"Oct 1, 1995",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,138,0,"A song about a father who is scatterbrained but is a real ""apron hero."" He's able to cook up so many delicious meals and grandiose bentous."
Aqua Kids,아쿠아 키즈,TV,26,Finished Airing,"Apr 1, 2004 to Sep 23, 2004",Thursdays at Unknown,add some,add some,add some,Original,"Adventure, Kids",26 min. per ep.,G,N/A,180,0,The polar ice caps have melted due to global warming. The human race has been stuck on one island as the marine life begins to evolve. Kids use a submarine and the help of their robot companions to explore the depths and come upon an ancient secret underwater civilization with treasure. It's a new hope for the human race to live under water but a money hungry real-estate tycoon stands in their way of peace. 
,阿拉徳 宿命之門,ONA,20,Finished Airing,"Apr 28, 2017 to Sep 1, 2017",,"Tohokushinsha Film Corporation, Tencent Animation & Comics, Tencent Games",add some,"Success Corp., Dangun Pictures",Game,"Action, Adventure, Fantasy",14 min. per ep.,PG-13,N/A,1126,1,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,世界名作劇場・完結版 あらいぐまラスカル,Special,2,Finished Airing,"Dec 10, 2000 to Dec 17, 2000",,Bandai Visual,add some,Nippon Animation,Unknown,"Slice of Life, Drama",45 min. per ep.,G,N/A,296,0,A summary of the Araiguma Rascal full series aired as a TV specials. 
,アレすけ,Music,6,Finished Airing,"Jan 1, 2008 to Jun 1, 2018",,add some,add some,add some,Original,Music,1 min. per ep.,G,N/A,92,0,"Aresuke is the mascot of Sanyo Broadcasting's radio division (Radio Sanyo Kabushikigaisha = RSK = Aresuke). The mascot had a little music video jig that was broadcasted everyday for one year. With the new year bringing in a new video. This ran for 4 years. Along with two musical commercials, Aresuke's limelight remains modest."
,蟻の生活,Movie,1,Finished Airing,1994,,The Village of Marchen,add some,add some,Unknown,Fantasy,14 min.,G,N/A,238,0,"A praying mantis strays into the society of ants that is organized by a mechanical queen.
"
,蟻と鳩,Movie,1,Finished Airing,"Jul 18, 1918",,add some,add some,add some,Other,Kids,Unknown,G,N/A,236,0,In this tale an ant and a pigeon help each other.
,ありとはと,Movie,1,Finished Airing,"Aug, 1953",,add some,add some,add some,Other,Kids,16 min.,G,N/A,213,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,ありとはと,Movie,1,Finished Airing,"Sep 5, 1959",,Gakken,add some,Gakken Eigakyoku,Other,Kids,8 min.,G,N/A,274,0,Third remake of the Ari to Hato.
,蟻と蛙,Movie,1,Finished Airing,"Sep 16, 1935",,add some,add some,add some,Original,,9 min.,G,N/A,163,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,ありときりぎりす,Movie,1,Finished Airing,1962,,Gakken,add some,Gakken Eigakyoku,Other,"Kids, Music",15 min.,G,N/A,174,0,Puppet animated film based on the Aesop fable of the same name.
,アリーズ -神話の星座宮-,OVA,1,Finished Airing,"Oct 1, 1990",,Studio Zain,add some,add some,Unknown,"Fantasy, Romance, Shoujo, Supernatural",45 min.,PG-13,N/A,340,1,Based on the shoujo manga by Fuyuki Rurika.
,ありがとう,Music,1,Finished Airing,"Feb 4, 1995",,NHK,add some,add some,Original,"Music, Kids",Unknown,G,N/A,118,0,A Minna no Uta music video sung by Keiko Utsumi and animated by Nanke Kouji. It has no relation to the Minna no Uta music video from 2010 which shares the name name.
,ありがとう,Music,1,Finished Airing,"Feb 1, 2010",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,122,0,A song about how encounters in your casual life and ability to connect with others through smiling is a treasure that carries with you for a lifetime.
,ありがとうくまのふ,ONA,11,Finished Airing,"Nov 30, 2011 to Jan 21, 2013",,add some,add some,Kachidoki Studio,Unknown,Comedy,30 sec. per ep.,G,N/A,188,0,Shorts that focus on a female bear's life.
