name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Usavich,ウサビッチ,TV,13,Finished Airing,2006 to 2007,Unknown,add some,add some,Kanaban Graphics,Original,"Adventure, Comedy",1 min. per ep.,PG-13,"6.98, 3459",6008,22,"Collection of animated shorts from MTV Japan and produced by Studio Kanaban that follows the misadventures of Kirenenko and Putin, two rabbits stuck in a Russian prison. "
The Two Lottes,わたしとわたし～ふたりのロッテ,TV,29,Finished Airing,"Nov 9, 1991 to Sep 5, 1992",Unknown,add some,add some,Tokyo Movie Shinsha,Novel,"Slice of Life, Kids, Shoujo",24 min. per ep.,G,"6.98, 158",890,2,"Outspoken Luise and shy Lotte meet at summer camp and realize they are identical twins who were separated at birth by their divorced parents. The girls become friends and decide to switch places with each other so that they can each learn about the parent they never knew, and perhaps bring together their broken family."
,武神主宰,ONA,80,Currently Airing,"Mar 8, 2020 to ?",,Tencent Penguin Pictures,add some,Ruo Hong Culture,Novel,"Action, Historical, Drama, Martial Arts, Fantasy",8 min. per ep.,None,"6.98, 149",831,4,"The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.

Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen’s will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father’s birth, the mother and son were treated coldly in Dingwu’s palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again."
Mega Man Star Force Tribe,流星のロックマン トライブ,TV,21,Finished Airing,"Nov 3, 2007 to Mar 29, 2008",Unknown,Half H.P Studio,add some,Xebec,Game,Adventure,10 min. per ep.,PG,"6.97, 2355",5403,22,"The second series is to follow the events of the second video game, focusing on the lost continent of Mu. The ancient civilization vanished ages ago, and a few of its remnants still exist as myths and legends called UMAs (unidentified lifeforms). The UMAs begin merging with humans in order to search for the treasures of Mu, the powerful ooparts, which will give them the power to revive Mu. After Subaru and War-Rock encounter several unusual enemies, they meet a professor named Doctor Orihime who sends them on a quest to find the ooparts and stop the UMAs. Using the ooparts, Rockman is able to take new forms, including Thunder Berserk, Fire Dinosaur, and Green Shinobi. (Source: Wikipedia)"
New Fist of the North Star,新・北斗の拳,OVA,3,Finished Airing,"Jul 24, 2003 to May 28, 2004",,"OB Planning, Kitty Films, Sega","ADV Films, Sentai Filmworks",A.C.G.T.,Novel,"Action, Martial Arts, Sci-Fi, Shounen",58 min. per ep.,R+,"6.97, 4817",11377,13,"In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him.

(Source: ANN)"
,神魂合体ゴーダンナー!! SECOND SEASON,TV,13,Finished Airing,"Apr 5, 2004 to Jun 27, 2004",Unknown,add some,"ADV Films, Sentai Filmworks",OLM,Original,"Ecchi, Comedy, Mecha, Romance, Sci-Fi",25 min. per ep.,R+,"6.97, 2743",6790,8,"The history is placed right after the -cliffhanger- end of Godannar when Anna looks surprised to see Mira driving the Neo Okusaer.

(Source: AniDB)"
The Testament of Sister New Devil,新妹魔王の契約者 DEPARTURES,OVA,1,Finished Airing,"Mar 28, 2018",,"AT-X, Nippon Columbia, KlockWorx, Toranoana, Glovision, Sony PCL, Kadokawa Media House, Sun TV, Kadokawa",add some,Production IMS,Light novel,"Action, Demons, Ecchi, Fantasy, Harem, Romance",59 min.,R+,"6.97, 21443",53610,116,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,the TV show,Music,1,Finished Airing,2009,,add some,add some,add some,Original,Music,3 min.,G,"6.97, 2109",3273,3,An independent music video created in 2009 by Sugimoto Kousuke and with music by Manabe Takayuki.
A Certain Magical Index Specials,とある魔術のいんでっくすたん,Special,2,Finished Airing,"Feb 7, 2009 to May 29, 2009",,add some,add some,J.C.Staff,Light novel,"Comedy, Parody",8 min. per ep.,PG-13,"6.97, 22805",46008,42,A series of shorts featuring Index-tan. 
Hamtaro,とっとこハム太郎,TV,296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",Fridays at 18 30 (JST),"TV Tokyo, Shogakukan-Shueisha Productions, Half H.P Studio",Viz Media,TMS Entertainment,Manga,"Adventure, Comedy, Kids",25 min. per ep.,G,"6.97, 16736",44511,223,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader HirokoHaruna, Hamtarou discovers other hamsters and quickly makes friends.

The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas..

Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!"
