name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,いっぽう日本昔ばなし,ONA,12,Finished Airing,"Jun 1, 2016 to Jun 29, 2016",,add some,add some,add some,Original,"Comedy, Fantasy",3 min. per ep.,PG,N/A,176,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,いろはまつり,Music,1,Finished Airing,"Dec 1, 1987",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,63,0,Music video for the song Iroha Matsuri by Japanese singer Miyuki Mori and the Hibari Children Chorus that was featured on NHK's Minna no Uta program. The video was animated by Fumio Ooi.
Irotoridori,イロトリドリ,Music,1,Finished Airing,"Feb 5, 2013",,Toy's Factory,add some,add some,Original,"Kids, Music",3 min.,G,N/A,128,0,"A music video for Yuzu's song ""Irotoridori."""
,イルカと少年,TV,13,Finished Airing,"Jul 30, 1975 to Aug 15, 1975",Unknown,add some,add some,Eiken,Unknown,"Adventure, Kids",15 min. per ep.,PG,N/A,260,1,"The series presents the adventures of Zoum, a white dolphin and his friends, two children who live with their sailor uncle. The cast includes several animals including a mynah bird (who understands the dolphin language in addition to the language of the other animals and the humans on the island and acts as a translator), a koala, and a sloth.

During their adventures, Zoum meets a beautiful female dolphin, called Za-za-zoom in the English version, with whom he has a baby.

(Source: Wikipedia)"
,医療経営コンサルタント,ONA,1,Finished Airing,"Nov 7, 2017",,add some,add some,add some,Original,"Music, Slice of Life",4 min.,G,N/A,184,0,"A staff recruitment video for medical management consultants for Keiei Senryaku Kenkyuujo (Corporate Strategy Research Institute).
"
,伊勢湾台風物語,Movie,1,Finished Airing,"Nov 4, 1989",,Mushi Production,add some,add some,Unknown,"Historical, Drama",1 hr. 25 min.,G,N/A,277,0,"On September 26, 1959, Super Typhoon #15 (also known as ""T5915"", ""Vera"", or ""Isewan Typhoon""), struck the coast of Japan with the maximum wind speed of 305 km/h, causing over 5,000 dead or missing plus over 30,000 injured, the heaviest casualty caused by a single typhoon in Japan in 20th century. This animated movie was produced on the 30th anniversary of the tragedy in order to commemorate the dead and survivors.

(Source: AniDB)"
,いしいひろゆき×斉藤壮馬エッセイ集「健康で文化的な最低限度の生活」コラボレーション映像,ONA,1,Finished Airing,"Sep 25, 2018",,add some,add some,add some,Original,Space,36 sec.,G,N/A,173,0,"An advertisement for a photo and essay collection of Souma Saitou, a voice actor, with 3 years worth of content from his work for VOICE Newtype (a sister web magazine to Newtype dedicated to the seiyuu industry).

The book will be titled Kenkou de Bunkateki na Saiteigendo no Seikatsu but has no relation to the manga and J-drama of the same name.

The animation for the advertisement is done by illustrator Hiroyuki Ishii, who stated that this was the first time they animated a piece, as they normally product 2D illustrations and design work for Space Shower TV."
,いしいひさいちの大政界,OVA,1,Finished Airing,"Sep 6, 1991",,add some,add some,add some,Unknown,"Parody, Comedy",43 min.,None,N/A,147,0,Based the same name gag manga by Hisaichi Ishii.
,いしいひさいちのナンダカンダ劇場,OVA,2,Finished Airing,"Jul 25, 1989 to Nov 25, 1989",,add some,add some,add some,Unknown,"Comedy, Martial Arts, Sci-Fi, Space",30 min. per ep.,PG,N/A,163,0,"The Underground People desire to leave their overcrowded cavern and seize control of the surface world, but they never quite succeed. A second episode, Christmas Aid, soon followed, in which the brainless Undergrounders' second futile escape attempt is set to music by the popular group Yukadan. The first volume also included two unrelated stories by Ishii: 101 Ninja and Ken-chan's Space Exploration Adventure.

(Source: The Anime Encyclopedia)"
,石ノ森章太郎の歴史アドベンチャー,OVA,5,Finished Airing,"Jan 23, 1992",,"Bandai Visual, Victor Entertainment",add some,add some,Unknown,"Samurai, Historical",30 min. per ep.,G,N/A,170,0,"A two-part video series in which Dr. Teng (a researcher at the Time Institute) and his faithful kappa assistant Pasuke travel through time, first to the Battle of Sekigahara (1600) and then to the fourth Battle of Kawanakajima (1561). In the second installment, they then look in on the last stand of the Japanese underdog hero Yoshitsune in Hiraizu mi (1189) and then, after spending so much time on the Genpei War, suddenly leap several centuries into the future, to cover the first time Nobunaga Oda used firearms in battle, at Nagashino (1575) . A mixture of live-action and anime, described by Japanese sources as a ""documentary with a touch of story,"" and presumably related in some way to Shotaro Ishinomori's multivolume manga history of Japan.

(Source: The Anime Encyclopedia)"
,石山寺デジタル縁起絵巻,Special,1,Finished Airing,"Sep 9, 2016",,add some,add some,add some,Other,Historical,12 min.,G,N/A,149,0,"The Ishiyama-dera temple in Outsu announced that the temple's Ishiyama-dera engi emaki scrolls will get their first CG anime adaptation as part of a ""Ishiyama-dera Digital engi emaki Project."" The anime will depict the first story in the first scroll, which illustrates the Hira Myoujin deity appearing before temple founder Rōben in the form of an old man, and giving him an oracle to construct the Ishiyama-dera. 

The Ishiyama-dera engi emaki are a series of seven scrolls depicting 33 illustrated stories set in and around the temple, including a scene depicting the moment when Murasaki Shikibu allegedly was inspired to write The Tale of Genji while viewing Lake Biwa from the temple. The scrolls are considered an Important Cultural Property, and were first displayed together for the first time in 2012. 

(Source: ANN)"
,,Music,1,Finished Airing,"Dec 26, 2016",,Felicity,add some,add some,Music,Music,4 min.,PG-13,N/A,97,0,"Music video for the song ""Islay"" by Otogivanashi (おとぎ話) from their 2016 album ""Islay."" Directed by Satoshi Jimbo."
,磯部磯兵衛物語,Special,3,Finished Airing,"Aug 25, 2016",,add some,add some,add some,Manga,"Comedy, Historical, Shounen",6 min. per ep.,PG-13,N/A,1247,0,"The DVD contains the Jump Festa 2015 Isobe Isobee Monogatari event anime. The release includes the episodes ""Gintama-hen,"" ""Shokugeki no Souma-hen,"" and ""Haikyuu!!-hen,"" which parody other Jump properties.

(Source: ANN)"
,磯部磯兵衛物語 〜浮世はつらいよ〜,ONA,5,Finished Airing,"Dec 19, 2013 to Apr 3, 2014",,add some,add some,add some,Manga,"Comedy, Historical",3 min. per ep.,G,N/A,309,0,"In this ukiyoe-style flash anime, Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school, but he plans to become a respectable samurai one day!

(Source: MangaHelpers, edited)"
,磯部磯兵衛物語 〜浮世はつらいよ〜,ONA,1,Finished Airing,"Dec 12, 2015",,add some,add some,Gathering,Manga,"Comedy, Historical, Shounen",30 sec.,None,N/A,507,1,"Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school... but he plans to become a respectable samurai one day!

(Source: MangaHelpers)"
,磯部磯兵衛 with 中田ヤスタカで候,ONA,1,Finished Airing,"Apr 23, 2017",,add some,add some,add some,Manga,"Historical, Music, Parody",1 min.,G,N/A,260,0,"DJ and music producer Yasutaka Nakata known for his work with Perfume and Kyary Pamyu Pamyu Nakata recruited the characters from Isobe Isobee Monogatari to star in a promotional video for his new single ""Seiseseiseiseiseseisei."""
,一寸法師,Movie,1,Finished Airing,"Mar 20, 1918",,add some,add some,add some,Original,Drama,1 min.,G,N/A,376,0,"The story of a couple who prays to God for a child, even if he would only be the size of a thumb."
